# 杭州市旅游攻略
城市编码: 330100
生成模型: deepseek-v3
==================================================

# 杭州市5日游攻略

## 🏙️ 城市简介
杭州是浙江省省会，素有"人间天堂"的美誉，是中国七大古都之一。拥有西湖文化景观世界遗产，历史悠久，文化底蕴深厚。最佳旅行时间为春季（3-5月）和秋季（9-11月），此时气候宜人，西湖景色最美。

## 🚗 交通指南
**到达方式：**
- 飞机：杭州萧山国际机场，距市区27公里
- 高铁：杭州东站、杭州站，连接全国主要城市
- 汽车：多个长途汽车站，省内交通便利

**市内交通：**
- 地铁：目前已开通多条线路，覆盖主要景点
- 公交：线路密集，可使用支付宝乘车码
- 共享单车：市区随处可见，适合短距离出行
- 出租车：起步价13元，方便但高峰期易堵车

## 🏨 住宿推荐
**经济型（200-400元/晚）：**
- 西湖国际青年旅舍
- 汉庭酒店西湖店
- 如家快捷酒店解放路店

**舒适型（400-800元/晚）：**
- 杭州维景国际大酒店
- 西湖山庄
- 浙江饭店

**豪华型（800元以上/晚）：**
- 杭州西子湖四季酒店
- 杭州君悦酒店
- 安缦法云

## 📅 详细行程安排

### 第1天：西湖初探
- **上午**：抵达杭州，入住酒店后前往西湖断桥残雪，漫步白堤
- **下午**：游览孤山、平湖秋月，参观浙江省博物馆
- **晚上**：欣赏西湖音乐喷泉表演，夜游湖滨步行街
- **推荐美食**：西湖醋鱼、叫花鸡

### 第2天：西湖深度游
- **上午**：乘船游湖，参观三潭印月、苏堤春晓
- **下午**：游览花港观鱼、雷峰塔（登塔俯瞰西湖全景）
- **晚上**：观看《宋城千古情》实景演出
- **推荐美食**：龙井虾仁、东坡肉

### 第3天：灵隐禅意
- **上午**：参观灵隐寺，感受佛教文化，游览飞来峰石刻
- **下午**：漫步梅家坞茶文化村，体验龙井茶文化
- **晚上**：清河坊历史街区品尝小吃，购买特产
- **推荐美食**：定胜糕、猫耳朵

### 第4天：西溪湿地
- **上午**：西溪国家湿地公园（东区），乘船游览湿地风光
- **下午**：继续探索西溪湿地，参观深潭口、秋雪庵等景点
- **晚上**：返回市区，逛武林广场商业区
- **推荐美食**：西湖莼菜汤、干炸响铃

### 第5天：文化收官
- **上午**：参观中国丝绸博物馆，了解丝绸文化
- **下午**：游览六和塔，钱塘江大桥观景
- **晚上**：整理行装，根据返程时间前往机场/车站
- **推荐美食**：片儿川、葱包桧

## 🍽️ 必吃美食
**特色菜品：**
- 西湖醋鱼（推荐：楼外楼）
- 龙井虾仁（推荐：山外山）
- 东坡肉（推荐：知味观）
- 叫花鸡（推荐：皇饭儿）
- 片儿川（推荐：奎元馆）

**小吃推荐：**
- 定胜糕
- 猫耳朵
- 葱包桧
- 吴山酥油饼

## 🎁 购物推荐
**特产：**
- 西湖龙井茶（推荐：梅家坞茶叶市场）
- 杭州丝绸（推荐：中国丝绸城）
- 王星记扇子
- 张小泉剪刀
- 西湖藕粉

**购物地点：**
- 清河坊历史街区
- 湖滨银泰in77
- 武林商圈
- 南宋御街

## 💡 实用小贴士
1. 气候：亚热带季风气候，雨具必备
2. 着装：舒适的运动鞋，西湖周边需要大量步行
3. 预订：旺季酒店和景点门票建议提前预订
4. 防蚊：湿地公园蚊虫较多，备好防蚊用品
5. 礼仪：寺庙参观需着装得体，保持安静
6. 网络：下载"杭州公交"APP查询实时公交信息

## 💰 预算参考
**经济型（每人）：**
- 交通：往返高铁400元 + 市内交通100元 = 500元
- 住宿：经济型酒店250元/晚 × 4晚 = 1000元
- 餐饮：100元/天 × 5天 = 500元
- 门票：约300元
- 总计：约2300元

**舒适型（每人）：**
- 交通：往返高铁600元 + 市内交通150元 = 750元
- 住宿：舒适型酒店500元/晚 × 4晚 = 2000元
- 餐饮：200元/天 × 5天 = 1000元
- 门票：约400元
- 总计：约4150元

**备注：** 以上为大致预算，实际花费因个人消费习惯而异。建议准备额外20%的应急资金。
